File ID,File Name,Destination Folder,Source Folder,Feature,Date,Time,Size (bytes),Version,CRC32,Options
00001,dtpicker.app,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Examples\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\examples\DateTimePicker,Always Install,2017/06/16,15:46:43,73832,,2A85C607,
00002,dtpicker.cwproj,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Examples\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\examples\DateTimePicker,Always Install,2017/06/13,18:13:09,1643,,5A7497FB,
00003,dtpicker.ico,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Examples\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\examples\DateTimePicker,Always Install,2000/05/14,00:21:40,766,,6165AB41,
00004,dtpicker.sln,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Examples\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\examples\DateTimePicker,Always Install,2015/03/05,14:17:48,1047,,68340DBA,
00005,ReadMe.txt,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Documents\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\documents,Always Install,2017/06/16,15:19:15,1566,,786021D6,
00006,Devuna Examples.lnk,%_SB_INSTALLDIR%\accessory\vendor\Devuna,C:\GitHub\Devuna-DateTimePicker\vendor,Always Install,2015/03/05,13:09:18,2489,,0BF65447,
00007,DateTimePicker.ico,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-DateTimePicker\template\win,Always Install,2000/05/14,00:21:40,766,,6165AB41,
00008,datetimepicker.tpl,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-DateTimePicker\template\win,Always Install,2017/06/26,17:42:54,4946,,337432E8,
00009,datetimepicker.tpw,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-DateTimePicker\template\win,Always Install,2017/06/16,15:21:44,15180,,AD2C2242,
00010,datetimepick.clw,%_SB_INSTALLDIR%\accessory\libsrc\win,C:\GitHub\Devuna-DateTimePicker\libsrc\win,Always Install,2017/06/16,15:20:35,37210,,9D778DAC,
00011,LICENSE,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Documents\Date Time Picker,C:\GitHub\Devuna-DateTimePicker,Always Install,2017/06/13,17:07:40,35815,,CB714391,
00012,datetimepick.inc,%_SB_INSTALLDIR%\accessory\libsrc\win,C:\GitHub\Devuna-DateTimePicker\libsrc\win,Always Install,2017/06/16,15:20:52,7916,,A0F91DEF,
00013,AccessoryMenu.addin,%_SB_INSTALLDIR%\accessory\addins,C:\GitHub\Devuna-DateTimePicker\addins,Always Install,2010/02/09,08:16:20,432,,99C4CAAE,
00014,Devuna.addin,%_SB_INSTALLDIR%\accessory\addins,C:\GitHub\Devuna-DateTimePicker\addins,Always Install,2014/03/29,09:02:06,907,,5FB3D53B,
00015,DateTimePicker.addin,%_SB_INSTALLDIR%\accessory\addins\Devuna,C:\GitHub\Devuna-DateTimePicker\addins,Always Install,2017/06/29,17:26:01,609,,94BA4594,
00016,DateTimePicker.chm,%_SB_INSTALLDIR%\accessory\documents\Devuna\Date Time Picker,C:\GitHub\Devuna-DateTimePicker\help,Always Install,2017/06/26,16:06:27,51970,,73E4FD93,
00017,DateTimePicker.chm,%_SB_INSTALLDIR%\accessory\documents\Devuna\DateTimePicker,C:\GitHub\Devuna-DateTimePicker\help,Always Install,2017/06/26,16:06:27,51970,,73E4FD93,
00018,dtpicker.ico,%_SB_INSTALLDIR%\accessory\images,C:\GitHub\Devuna-DateTimePicker\images,Always Install,2000/05/14,00:21:40,766,,6165AB41,
00019,LICENSE,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\Devuna\Documents\DateTimePicker,C:\GitHub\Devuna-DateTimePicker,Always Install,2017/06/13,17:07:40,35815,,CB714391,
